2025-10-03 18:16:08,304 | INFO     | migration | [module_manager] Carregando módulos de migração...
2025-10-03 18:16:42,853 | INFO     | migration.user_discoverer | [user_discoverer] Descobrindo usuários em destino...
2025-10-03 18:16:57,285 | INFO     | migration.user_discoverer | [user_discoverer] ✅ 1 usuários encontrados em destino
2025-10-03 18:16:57,285 | INFO     | migration.user_discoverer | [user_discoverer] ✅ Descoberta concluída: 2 usuários total
2025-10-03 18:16:57,285 | INFO     | migration | [discovery] Descoberta real: 2 usuários encontrados
2025-10-03 18:16:57,285 | INFO     | migration | [step.discover_source] ✅ Concluído: Descobrir estrutura do servidor origem (20.59s)
2025-10-03 18:16:57,285 | INFO     | migration | [step.analyze_compatibility] 🚀 Iniciando: Analisar compatibilidade SCRAM-SHA-256
2025-10-03 18:16:57,285 | INFO     | migration.scram_auth_checker | [scram_auth_checker] Inicializando componente scram_auth_checker
2025-10-03 18:16:57,285 | INFO     | migration.scram_auth_checker | [scram_auth_checker] Inicializando verificador SCRAM
2025-10-03 18:16:57,285 | INFO     | migration.scram_auth_checker | [scram_auth_checker] ✅ Componente scram_auth_checker pronto
2025-10-03 18:16:57,285 | INFO     | migration | [scram] Analisando compatibilidade SCRAM-SHA-256...
2025-10-03 18:16:58,286 | INFO     | migration | [step.analyze_compatibility] ✅ Concluído: Analisar compatibilidade SCRAM-SHA-256 (1.00s)
2025-10-03 18:16:58,286 | INFO     | migration | [step.pre_migration_backup] ⏭️ Pulando: Criar backup pré-migração - Backup opcional desabilitado
2025-10-03 18:16:58,286 | INFO     | migration | [step.execute_migration] 🚀 Iniciando: Executar migração principal
2025-10-03 18:16:58,286 | INFO     | migration | [migration] Executando migração principal...
2025-10-03 18:17:32,869 | WARNING  | migration | [orchestrator] Migração interrompida pelo usuário
2025-10-03 18:17:32,869 | INFO     | migration | [orchestrator] ======================================================================
2025-10-03 18:17:32,869 | ERROR    | migration | [orchestrator] ❌ MIGRAÇÃO FALHOU
2025-10-03 18:17:32,869 | INFO     | migration | [orchestrator] Duração total: 61.15s
2025-10-03 18:17:32,869 | INFO     | migration | [orchestrator] Passos concluídos: 7/11
2025-10-03 18:17:32,870 | INFO     | migration | [orchestrator] ======================================================================
